metric,gpt4_mean,gpt5_mean,difference,test_used,test_statistic,p_value,mann_whitney_p,cohens_d,effect_size,significant
char_count,2698.25,2997.25,299.0,Welch's t-test (unequal variances),-0.7400552479935403,0.478685264653792,0.7984459984459983,0.37002762399677014,Small,False
word_count,442.125,439.375,-2.75,Mann-Whitney U test (non-parametric),33.0,0.9580911282267016,0.9580911282267016,-0.022604274381904838,Negligible,False
sentence_count,34.75,22.75,-12.0,Independent t-test (equal variances),1.7513783084930197,0.10174831733480315,0.3169975086812533,-0.8756891542465098,Large,False
warmth_score,0.9088078821342563,0.2729257641921397,-0.6358821179421166,Mann-Whitney U test (non-parametric),36.0,0.5897443622083883,0.5897443622083883,-0.41987528517037076,Small,False
empathy_score,1.8565921770692841,2.193275824354049,0.33668364728476474,Mann-Whitney U test (non-parametric),28.5,0.7362552076440773,0.7362552076440773,0.13410377068671558,Negligible,False
personal_score,4.973879833450036,1.7668877088944162,-3.20699212455562,Welch's t-test (unequal variances),2.7700489903591126,0.021356476348374766,0.04988344988344988,-1.3850244951795563,Large,True
lexical_diversity,60.65302736569154,62.42335159858072,1.7703242328891804,Independent t-test (equal variances),-0.6525058707177183,0.5246448780786683,0.32820512820512815,0.32625293535885913,Small,False
avg_sentence_length,13.828250069676699,19.61317568936276,5.78492561968606,Independent t-test (equal variances),-3.328849838048141,0.0049687203006893174,0.014763014763014764,1.6644249190240705,Large,True
sentiment,0.13218036289158178,0.11430605811093698,-0.017874304780644792,Independent t-test (equal variances),0.78850424596438,0.44354956252294286,0.3822843822843822,-0.39425212298219,Small,False
reading_ease,57.162686784615815,26.898285578953494,-30.26440120566232,Mann-Whitney U test (non-parametric),62.0,0.0006216006216006216,0.0006216006216006216,-2.6015286406914,Large,True
flesch_kincaid,9.06312555817461,14.426993195717703,5.363867637543093,Independent t-test (equal variances),-5.0282291842532345,0.00018460386824205993,0.0010878010878010878,2.5141145921266173,Large,True
gunning_fog,11.15775725419805,17.345537759616942,6.187780505418893,Independent t-test (equal variances),-4.673785597059789,0.0003585466973375338,0.0010878010878010878,2.336892798529894,Large,True
